species_abv,species_family,species_genus,species_species,species_common_name,date_admitted,patients_lat_found,patients_lng_found,exams_weight_g,exams_bcs,life_stage,exams_head,exams_musculoskeletal,exams_integument,exams_body,exams_forelimb,exams_hindlimb,exams_head_finding,exams_forelimb_finding,exams_hindlimb_finding,exams_treatment,exams_nutrition,exams_comments,,,,,,,,patients_reasons_for_admission,patients_diagnosis,patients_reference_number,patients_keywords,patients_disposition,patients_reason_for_disposition
BLVU,Cathartidae,Coragyps,atratus,Black Vulture,1/7/2018,32.829865,-79.816685,,,,,,,,"Left humerus fracture, compound, multiple fxs proximal and distal",,No significant findings,Abnormal,No significant findings,None,,,,,,,,,,S. Collision (moving object),"Left humerus fracture, compound, multiple fxs proximal and distal; irreparable; euthanized on arrival",8120-18-009,,Euthanized in 24hr,Irreparable left humerus fractures
EASO,Strigidae,Megascops,asio,Eastern Screech-owl,1/5/2018,33.31788,-80.173903,,,Adult,,Standing,,,"palpated L wing, fx through wrist",No palpable fx in feet,Not examined,Abnormal,No significant findings,"Tx: under ISO @ 3% for 10 min.  RAD: confirmed metacarpal fx through wrist joint, non-repairable",,Elect euthanasia under ISO mask,,,,,,,,unable to fly,Fx L metacarpals,8114-18-003,,Euthanized +24hr,"Left metacarple fracture through the wrist joint, in-operable."
,Anatidae,Melanitta,Nigra,Black Scoter,1/2/2018,,,901.00,,Adult,lead shot found in mouth,Not able to stand,,,,,Abnormal,Not examined,Not examined,"Tx: under ISO @ 3% for 10 min., crepitus felt L femur, RAD: confirmed L femur fx + gunshot (5 pellets), severely displaced femur fx L, non-viable, inoperable",,"Elect euthanasia under ISO mask, incident report sent to USF&W Service",,,,,,,,suspected gunshot,,1431-18-002,gunshot,Euthanized in 24hr,non-repairable fracture due to gunshot
GBHE,Ardeidae,Ardea,herodias,Great Blue Heron,1/5/2018,33.17074,-80.20551,1800.00,Emaciated,Juvenile,,,,"very lethargic, slightly emaciated, unable to stand",,,No significant findings,Not examined,Not examined,"LRS 70 ml SQ scapulas, Vit B comp 0.2 ml SQ fluid, iron 0.18 ml IM",,,,,,,,,,"debilitated, stuck in snow",Environmental debilitation,1434-18-005,Environmental stranding,Died +24hr,Deceased in kennel.
AMWO,Scolopacidae,Scolopax,minor,American Woodcock,1/2/2018,33.746269,-78.934848,89.00,,Adult,"Blood in nares, head trauma",,,,,,Abnormal,Not examined,Not examined,"LRS 5 cc SQ scapula, Vit B 0.02 cc SQ fluids, Metacam 0.02 cc IM",,,,,,,,,,head trauma,head trauma,1430-18-001,,Died in 24hr,Deceased in kennel
NOFL,Picidae,Colaptes,auratus,Northern Flicker,1/4/2018,33.255547,-79.292782,109.00,Emaciated,Adult,,,,Slightly emaciated,"Crepitus palpated L elbow, fx humerus proximal",,Not examined,Abnormal,Not examined,"RAD: confirmed fx as above, radius pulled away + luxated from elbow joint-comminuted humeral fx proximal + through joint-elbow joint trauma, severe, elect euthanasia under ISO mask due to the severity of injury and likelihood of never flying again",,Non-viable and non-repairable,,,,,,,,Left wing fx,"Severe elbow joint trauma, non-repairable",1433-18-004,,Euthanized in 24hr,"proximal humerus fracture close to the elbow joint, luxated left radius from elbow joint, in-operable."
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/7/2018,,,,Emaciated,Juvenile,"Severe frostbite @ pouch, esp. at tip",,,Severely emaciated,,"Frostbite on both feet webbing, very significant, both wrists severely frostbitten",Abnormal,Not examined,Abnormal,"Non-viable, elect euthanasia under ISO mask",,,,,,,,,,"unable to fly, found on beach","Severe frostbite, emaciation",1440-18-011,Frostbite,Euthanized in 24hr,"Severe frost bite over both wrists, pouch, and both feet, non-viable."
RBGU,Laridae,Larus,delawarensis,Ring-billed Gull,1/6/2018,33.106213,-80.125188,,Emaciated,Juvenile,,,,,"R wing trauma, Fx ulna + radius R compound, completely twisted,  fx L humerus",,Not examined,Abnormal,Not examined,Euthanized under ISO,,irreparable injuries,,,,,,,,R wing hanging down,multiple severe fractures,1439-18-010,S. collision,Euthanized in 24hr,"Severe right wing trauma, fx ulna and radius compound, fracture right humerus compound. in-operable."
ANHI,Anhingidae,Anhinga,anhinga,Anhinga,1/5/2018,32.828958,-80.086556,,,,,,,,,,,,,,,,,,,,,,,frozen into ice in  pond,,1437-18-008,,Euthanized +24hr,"Condition of wrists deteriorated, non-viable due to frost bite."
WOST,Ciconiidae,Mycteria,americana,Wood Stork,1/5/2018,32.775702,-79.980978,1525.00,Emaciated,Adult,,,,"Severely debilitated, slightly emaciated",,,No significant findings,No significant findings,No significant findings,"LRS 35 ml IV, LRS 70 ml SQ scaps, Vit B comp 0.20 ml SQ fluids",,Poor prognosis,,,,,,,,debilitated,"Environmental debilitation, frostbite",1435-18-006,Environmental,Died +24hr,Deceased in Kennel.
BAEA,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,1/7/2018,33.12034,-80.029211,,Good,Adult,"Slightly visual, eyes swollen OU, membrane swollen",,Excellent condition,Excellent body condition but lying down,No palpable fx,No palpable fx,Abnormal,No significant findings,No significant findings,"LRS 35 ml IV, LRS 120 ml SQ both legs, Vit B comp 0.40 ml SQ fluids, Metacam 1 ml IM, BNP OU, tail wrap applied, mites treated with Adams, CaEDTA 0.92 ml SQ fluids ( 50 ml/kg highest)",,"Suspect lead poisoning, very poor prognosis",,,,,,,,"weak, could not stand",Lead toxicity,8119-18-008,Lead toxicity,Died +24hr,Deceased in Kennel
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/11/2018,33.797477,-78.724616,,Emaciated,Juvenile,Frostbite on pouch,,,,Frostbite on wrists bilateral,"Severe frostbite to both feet; necrosing in several spots; all webbing damaged, R hock joint wound, old and necrotic, bird barely able to stand, unable to walk, suspect bone involvement w/hock joint + L digits #3 + 4",Abnormal,Abnormal,Abnormal,"Due to severity of wounds, euthanized under ISO",,,,,,,,,,severe frostbite to both feet,Frostbite,1447-18-018,frostbite,Euthanized +24hr,"Severe frostbite to both feet and pouch, non-viable."
DCCO,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested Cormorant,1/10/2018,33.36402,-79.227008,,,Adult,,,,,"Severe L wing trauma, radius + ulna fx compound, proximal; exposed bone dry; entire L wing ice cold, irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO mask,,,,,,,,,,found on road,"Severe L wing trauma, irreparable",1446-18-017,S. collision,Euthanized +24hr,"Severe Left wing trauma, compound fracture to the left ulna and radius, entire left wing ice cold, non-viable."
BADO,Strigidae,Strix,varia,Barred Owl,1/10/2018,32.402688,-80.698393,,,,,,,,,,,,,,,,,,,,,,,species conflict,,8129-18-018,,Died in 24hr,Deceased in Kennel
RTHA,Accipitridae,Buteo,jamaicensis,Red-tailed Hawk,1/10/2018,33.012583,-81.046661,1294.00,,Adult,,Spinal trauma,Multiple abrasions,,,"L hock wound, old, becoming necrotic, R hip wound dorsal",Not examined,Not examined,Abnormal,"RAD: spinal fx, distal, irreparable, euthanized under ISO",,,,,,,,,,Collision,"Spinal fracture, paralysis",8128-18-017,S. collision,Euthanized in 24hr,"Distal spinal fx, necrotic hock joint"
AMWO,Scolopacidae,Scolopax,minor,American Woodcock,1/9/2018,32.79134,-80.03546,107.00,Good,Adult,,,,,,,No significant findings,Not examined,Not examined,"NAI, released",,found in car wash,,,,,,,,found in car wash,Environmental,1444-18-015,Environmental,Released,"No physical injuries, capable of flight."
BADO,Strigidae,Strix,varia,Barred Owl,1/11/2018,,,,,Adult,"Blind OS, pecten torn OD, hyphema present, laceration to cere","Fx L radius distal @ wrist,  severe head trauma",,,,,Abnormal,Not examined,Not examined,Elect euthanasia under ISO mask,,Eyesight will not return.,,,,,,,,collision,Severe head trauma,8127-18-016,,Euthanized in 24hr,"Completely blind OU, eyes shattered, pectins torn, eye site will not return."
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/12/2018,33.651198,-78.930625,,,Juvenile,"pouch, severe/raw frost bite distal, blood in mouth",,,,"Wrists stiff red, crepitus present",severe frostbite both feet,Abnormal,Abnormal,Abnormal,Euthanized under ISO,,,,,,,,,,severe frostbite both feet,severe frostbite both feet as well as pouch,1450-18-021,,Euthanized in 24hr,severe frost bite
AMWO,Scolopacidae,Scolopax,minor,American Woodcock,1/11/2018,32.785295,-79.934195,125.00,,Adult,,,,,,,No significant findings,No significant findings,No significant findings,"LRS 5 cc SQ scapula, Vit B 0.02 cc SQ fluids, Metacam 0l02 cc IM",,NSF,,,,,,,,unable to fly,,1448-18-019,,Euthanized in 24hr,luxated Right humerus from shoulder joint
BADO,Strigidae,Strix,varia,Barred Owl,1/11/2018,33.988563,-81.236846,509.00,Emaciated,Adult,,,Very poor feather condition,"Keel 1, emaciated",,,Not examined,No significant findings,No significant findings,"LRS 35 cc SQ R leg, Vit B 0.1 cc SQ fluids, Metacam 0.1 cc IM, 1 headless mouse in transport box",,"NSF, emaciation",,,,,,,,severe emaciation,NSF,8134-18-023,,Died in 24hr,Deceased in Kennel
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/12/2018,,,,,Adult,"R eye trauma, globe deflated, lens luxation",,,,"R humerus compound fx; proximal, old",,Abnormal,Abnormal,Not examined,Euthanized under ISO,,non-repairable injuries,,,,,,,,not flying,S. collision,8139-18-028,S. collision,Euthanized in 24hr,proximal humeral fracture compound.
BAEA,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,1/12/2018,32.198262,-80.897594,2000.00,Emaciated,Adult,"pale, tacky MM's",,Mites present,Severely emaciated,,,Abnormal,Not examined,Not examined,"Sprayed with Adams for mites, begin CaEDTA immediately, PCV critically low; TP critically low, LDR 120 cc SQ  leg, Vit B 0.2 cc SQ fluids, iron 0.2 cc IM CaEDTA 0.35 cc SQ fluids",,Poor prognosis,,,,,,,,emaciated,Lead toxicity,8140-18-029,,Died in 24hr,dead in kennel
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/9/2018,33.572209,-79.015794,2065.00,,,Frostbite distal pouch,,,,,"Frostbite, both feet, distal webbing, R wrist open wound",Abnormal,Not examined,Abnormal,"Wrist wound cleaned, applied Medi-honey",,,,,,,,,,frostbite,Environmental Frostbite,1445-18-016,"BRPE, Frost Bite",Euthanized +24hr,"Frostbite has completely necrotized both feet, non-viable."
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/8/2018,33.515609,-79.059779,3019.00,,Juvenile,,,,,,"Frostbite on webbing of feet, bilateral",Not examined,Not examined,Abnormal,"Applied TAO, LRS 120 cc gavage, Baytril 0.5 cc PO, Metacam 0.3 cc IM L leg",,poor prognosis,,,,,,,,"environmental, frostbite",frostbite webbing of both feet,1442-18-013,frostbite,Euthanized +24hr,Severe frostbite to both feet
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/15/2018,,,3125.00,,Adult,,,,Keel 2+,"R wing trauma, compound ulna fx, distal, compound metacarpal fas, major + minor @ wrist, wrist trauma/joint damage, irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,,,,,,,,,hit by boat,,1451-18-022,boat collision,Euthanized in 24hr,irreparable fractures
GHOW,Strigidae,Bubo,virginianus,Great Horned Owl,1/10/2018,32.12987,-80.778105,807.00,Emaciated,Adult,,,,"Keel 1+, extremely emaciated",,,No significant findings,Not examined,Not examined,"LRS 60 cc SQ L leg, Vit B 0.1 cc SQ fluids, Metacam 0.1 cc IM",,,,,,,,,,extremely emaciated,,8131-18-020,emaciation,Died +24hr,Deceased in Kennel
BADO,Strigidae,Strix,varia,Barred Owl,1/11/2018,,,678.00,,Adult,"OS: severe trauma, hyphema, lens luxated, deflating",,very poor feather condition,Keel 2+,,,Abnormal,No significant findings,No significant findings,"LRS 35 cc SQ L leg, Vit B 0.1 cc SQ fluids, Metaam 0.13 c IM, Flurbiprofen + BNP OS",,needs surgery to remove eye,,,,,,,,hit by car,severe eye trauma,8135-18-024,eye trauma,Euthanized +24hr,Deflated lens
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/11/2018,32.940169,-79.658132,2520.00,,Juvenile,Frostbite on pouch,,,,,Frostbite on webbing both feet,Abnormal,Not examined,Abnormal,"Gavaged 120 cc LRS, Metacam 0.3 IM R leg",,,,,,,,,,"on ground, unable to fly",Frostbite,1449-18-020,Frostbite,Euthanized +24hr,"Severe frost bite has taken over entire pouch, non-viable."
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/8/2018,,,2654.00,Emaciated,Juvenile,"Frostbite spots, multiple on pouch, esp. distal w/inflammation",,,,,"Minor frostbite on both feet, distal edges of webbing",Abnormal,Not examined,Abnormal,"LRS 120 cc gavaged, Baytril 0.4 cc PO, Metacam 0.3 cc IM L leg",,,,,,,,,,Frostbite,Frostbite,1443-18-014,Frostbite,Euthanized in 24hr,"emaciation, severe frostbite"
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/9/2018,,,,Good,Adult,,,,,"Luxation R condyle, old, callused, drooping R wing",,Not examined,Abnormal,Not examined,"RAD: confirmed the above, significant callus formation around R ulna, severe luxation, no spacing for joints",,Elect euthanasia under ISO mask,,,,,,,,S. Collision (moving object),S. collision,8126-18-015,,Euthanized in 24hr,Irreparable fracture
AMWO,Scolopacidae,Scolopax,minor,American Woodcock,1/7/2018,32.884709,-79.975724,,,Adult,,,small abrasion on top  of head w/feather loss,,bird is flighted,,No significant findings,No significant findings,No significant findings,"LRS 5 ml SQ scaps, Vit B comp 0.05 ml SQ fluid, Metacam, SSD to head wound",,,,,,,,,,head trauma,head trauma,1441-18-012,S. collision,Released,recovered
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,33.460024,-79.573357,509.00,Emaciated,Adult,,,Heavy external parasite load,,Severe left wing trauma: Left humerus fracture; multiple proximal compound; old bone dry and necrotic; distal fracture closed at elbow,,No significant findings,Abnormal,Not examined,Euthanized under ISO,,Emaciated,,,,,,,,Suspect collision,Left humerus fracture; non repairable,8152-18-041,,Euthanized in 24hr,non repairable
COLO,Gaviidae,Gavia,immer,Common Loon,1/22/2018,32.200936,-80.691745,3119.00,Thin,Adult,Blood in the glottis,Metacarpal bone exposed. Right femur fracture at hip joint.,,"Right hip dorsal; old tissue wound, necrotic.",Old metacarpal injury,,Abnormal,Abnormal,Not examined,Euthanized under ISO,,Wounds too large and too old to treat. Suspect systemic.,,,,,,,,Stranded on beach. Injury to the right wrist. Wound on the bird's back.,Fatal laceration and non repairable fracture,1455-18-026,S. collision,Euthanized in 24hr,Fatal laceration and non repairable fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,,,797.00,Good,Adult,Left eye trauma,,,,"minor abrasion, right wrist ventral",,Abnormal,Abnormal,No significant findings,SQ fluids,,"Good prognosis, Keel score 3",,,,,,,,Unable to fly. Would not leave side of the road. Presenter was able to pick up,Head and eye trauma,8153-18-042,"Nancy Owen, Tom Murphy, Nora Futrell",Pending,
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,,,628.00,Good,Adult,"Severe right eye trauma, minor left eye trauma. Right ear bruising. Blood observed in mouth",Right proximal femur fracture with significant contraction; not a good surgical candidate,,,,,Abnormal,No significant findings,Not examined,"Radiology, Euthanized under ISO",,,,,,,,,,Suspected collision. Able to pick up off the side of the road.,Fatal femur fracture; not a good surgical candidate,8154-18-043,Head trauma,Euthanized in 24hr,Not a good surgical candidate
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,33.695036,-80.234742,692.00,Good,Adult,Significant amount of blood in mouth. Severe OD trauma. Minor OS trauma.,Ulna left transverse fx with distal segment split almost to the wrist. Severe right coracoid fracture.,,,,,Abnormal,Not examined,Not examined,Euthanized under ISO,,non operable,,,,,,,,Suspected collision,Non operable bone fractures. Fatal head trauma and bleeding.,8155-18-044,,Euthanized in 24hr,non operable bone fractures
COLO,Gaviidae,Gavia,immer,Common Loon,1/23/2018,33.437632,-79.126443,4325.00,,Adult,,,,,,,Not examined,Not examined,Not examined,"Under ISO @ 2-5 % for 15 min.  RAD: ingested foreign object, lead high, begin Ca EDTA Tx BID x 5 days, LRS 120 cc SQ scapula, Vt B 0.4 cc SQ fluids, Ca EDTA 1.1 cc SQ fluids",,very lethargic--poor prognosis,,,,,,,,stranded,"Ingestion of foreign object, lead",1456-18-027,,Died +24hr,Died in care
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/18/2018,33.651198,-78.930625,1730.00,Reasonable,Adult,frostbite in middle of pouch; severe but not open,,,,Edema to both wrists. No droop noticed,Frostbite on both feet,Abnormal,Abnormal,Abnormal,"TX: under ISO @ 2% for 30 mins. Drained both wrists with 18G needle, will monitor for return. Feet cleaned with novasan; dried off; applied medihoney and telfa. LRS 120cc PO. Vit B Complex 0.50cc PO fluids. Metacam 5cc PO, LRS 35cc IV. Amikacin 1.25cc IV fluids.",,Telfa pads came off. Regurgitated 2 mullet from ARK Animal Hospital and re-ate.,,,,,,,,"found on beach unable to fly, frost bite",Severe frostbite,1454-18-025,"Frostbite, Cold laser therapy",Euthanized +24hr,"Pouch continues to worsen; rotten, necrotic."
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/17/2018,,,3023.00,Thin,Juvenile,,,,,"Left wrist stiffness, luxation at joint. Right wing edema; severe frostbite.",Progressive frostbite on all feet and webbing; irreparable,Not examined,Abnormal,Abnormal,Elect euthanasia under ISO mask,,Keel score: 2. Standing; no droop noted or observed. irreparable frostbite injuries.,,,,,,,,"edema R wing, severe frost bite",Severe and irreparable wounds related to frostbite,1453-18-024,"Frostbite, MPI, MRI, MRL",Euthanized in 24hr,Frostbite damage irreparable
NOCA,Cardinalidae,Cardinalis,cardinalis,Northern Cardinal,1/4/2018,32.918632,-79.706001,41.00,Reasonable,Adult,,,feathers in excellent condition,body in excellent condition,Right wing coracoid fracture,,Not examined,Abnormal,Not examined,"TX: under ISO 3% for 20 mins. RAD confirmed Right coracoid fracture. Elected body wrap supporting Right wing to body. Metacam 0.02 ml IM (high), LR 1ml SQ scaps. Added small H20 bowl and bowl of seeds to kennel.",,"BAR, Keel score: 3. standing, can run around. Flaps both wings, but unable to fly. Excellent body and feather condition",,,,,,,,"found hopping around on snow, unable to fly",Right wing fracture,1432-18-003,Songbird,Died +24hr,Found dead in enclosure
BADO,Strigidae,Strix,varia,Barred Owl,1/16/2018,32.812947,-80.096859,,,,,,,,,,,,,,,,,,,,,,,"hit by car, fx wing","Left wing trauma, compound humerus fx, distal @ elbow, irreparable",8144-18-033,S. collision,Euthanized in 24hr,Irreparable fractures to left wing
BADO,Strigidae,Strix,varia,Barred Owl,1/15/2018,33.107796,-80.861621,559.00,,Adult,"OD trauma, R ear bruised, closing eye, stressed and painful, blood in mouth",,,,,,Abnormal,No significant findings,No significant findings,"LRS 35 cc SQ L leg, Vit B 0.1 cc SQ fluids, Metacam 0.12 cc IM",,Keel 2+,,,,,,,,head trauma,Head/OD trauma,8143-18-032,head trauma,Died +24hr,"Died in care, head trauma"
LAGU,Laridae,Leucophaeus,atricilla,Laughing Gull,1/5/2018,32.833591,-80.052073,235.00,Thin,Juvenile,pale MM,,,,,"Feet caked w/dirt + feces, a few very superficial sores, plantar surface--good circulation and temperature",Abnormal,Not examined,Abnormal,"5 c/u smelt to dish, LRS 12 cc SQ R scapula, Vt B 0.03 cc SQ fluids, iron 0.03 cc IM L chest, once",,NAI,,,,,,,,very thin juvenile,Environmental stranding,1436-18-007,environmental stranding,Died +24hr,Died in care
TUVU,Cathartidae,Cathartes,aura,Turkey Vulture,1/2/2018,,,,,Juvenile,,,,,,,Not examined,Not examined,Not examined,,,,,,,,,,,"found on road, unable to fly",,8112-18-001,,Died +24hr,Deceased in kennel
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/16/2018,32.703877,-80.248852,3396.00,,Juvenile,,Standing,,,"Luxated L elbow, irreparable, frost bite L wing @ wrist, severe, cold to touch","Old frost bite on feet, looks good",Not examined,Abnormal,Abnormal,Elect euthanasia under Isoflurane mask.,,"Luxated L elbow, irreparable",,,,,,,,frost bite,"Frostbite, luxated L elbow",1452-18-023,"frost bite, luxated elbow",Euthanized in 24hr,Irreparable fracture
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/21/2018,32.808199,-79.853492,101.00,,Adult,,,,,"R wing trauma, missing skin, tissue  muscle distal radius/ulna area, lateral; exposed bone and tendons; irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,Irreparable damage to R wing,,,,,,,,attacked by dogs,R wing trauma,8151-18-040,,Euthanized in 24hr,Irreparable damage to R wing
