species_abv,species_family,species_genus,species_species,species_common_name,date_admitted,patients_lat_found,patients_lng_found,exams_weight_g,exams_bcs,life_stage,exams_head,exams_musculoskeletal,exams_integument,exams_body,exams_forelimb,exams_hindlimb,exams_head_finding,exams_forelimb_finding,exams_hindlimb_finding,exams_treatment,exams_nutrition,exams_comments,,,,,,,,patients_reasons_for_admission,patients_diagnosis,patients_reference_number,patients_keywords,patients_disposition,patients_reason_for_disposition
,Accipitridae,Circus,Hudsonius,Northern Harrier,1/19/2018,33.494857,-81.200981,417.00,Good,Juvenile,Visual OU,,Good feather condition,Good BCS,fx R ulna + radius @ wrist,,No significant findings,Abnormal,Not examined,"TX: Under ISO @ 3% for 20 min. RAD: confirmed the above, confirmed gunshot, one near shoulder, fragments @ fx site,  figure 8 wrap applied R wing + paper tape bandage, LRS 35 ml SQ L leg, Vit B complex 0.10 ml SQ pocket, Metacam 0.16 ml IM (high), Iron 0.05 ml IM, Tramadol 0.18 ml PO",,"Radius well aligned, ulna is comminuted, both wrists joints look good, will consult with JB on Sx options",,,,,,,,gunshot,"fx R ulna + radius, gunshot",8145-18-034,gunshot,Euthanized +24hr,Irreparable fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/21/2018,33.344533,-79.38503,,,Adult,"Severe head/ OS trauma, OS deflating + covered with exudate, severe bleeding from nares",,,,L shoulder/proximal humerus luxation @ coracoid,,Abnormal,Abnormal,Not examined,Euthanized under ISO,,"Irreparable injuries to head, eye and L shoulder",,,,,,,,severe head trauma,"Severe head trauma, L shoulder/proximal humerus luxation @ coracoid",8150-18-039,,Euthanized in 24hr,Irreparable eye injury and L shoulder fracture
RSHA,Accipitridae,Buteo,lineatus,Red-shouldered Hawk,1/28/2018,32.959777,-80.169047,484.00,,Adult,,,,Keel 2,"Severe L wing trauma, old L humerus fx, compound, distal @ elbow; exposed bone dry + becoming necrotic, irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,irreparable fracture,,,,,,,,fx wing,S. collision,8167-18-056,,Euthanized in 24hr,compound humeral fracture
RTHA,Accipitridae,Buteo,jamaicensis,Red-tailed Hawk,1/27/2018,,,,Good,Adult,,,,,"R wing doesn't feel right, couldn't feel anything obvious, R wing droop",,Not examined,Abnormal,Not examined,"Will get RAD later if food is digested, put in kennel with perch",,,,,,,,,,"fx wing, hit by car",S. collision,8166-18-055,"S. collision, electric shock",Euthanized in 24hr,proximal humeral fracture
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/27/2018,31.291636,-82.248638,527.00,,Juvenile,,unable to stand,,,,,Not examined,Not examined,Not examined,"bird in kennel upside down, wiped vent clean, bird responsive to touch, feet were completely wrapped, removed wraps, fell over when put back in kennel, switched direction of towel roll, FF 1 sk c/u ck w/Rx 0.3 Metacam, Vt, Ca++, 1 sk c/u sk to kennel",,,,,,,,,,"not using legs, unable to stand",Spinal fx,8165-18-054,spinal fracture,Euthanized in 24hr,spinal fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/5/2018,33.836081,-81.163725,544.00,Reasonable,Juvenile,"OD trauma; synychea, minor, OS visual; no trauma",,Mites,Standing,no palpable fx,,Abnormal,No significant findings,Not examined,"LRS 35 ml SQ R leg, Vit B 0.10 cc SQ fluid, Metacam 0.22 IM, Flurbiprofen + BNP OD, sprayed w/Adams, Iron 0.05 ml IM",,CCR - N,,,,,,,,eye trauma,S. collision,8115-18-004,"head trauma, eye trauma",Released,fit for release
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/6/2018,,,119.39,Reasonable,Adult,"slight dilation OS, visual OD",,,Excellent body condition,,,Abnormal,Not examined,Not examined,"BNP OS, LRS 5 ml SQ R leg, Vit B comp 0.05 ml SQ fluids",,Treated initially at Georgia Sea Turtle Rescue,,,,,,,,"? eye injury, collision",Old head trauma,8118-18-007,head trauma,Released,fit for release
DCCO,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested Cormorant,1/25/2018,,,,,Adult,,,,,,"loss of function to R leg/foot due to constriction and luxation @ hock joint, skin and tissue damage on tarsus + hock joint",Not examined,Not examined,Abnormal,"Irreparable trauma, euthanized under ISO",,,,,,,,,,"bird entangled, hanging from tree by one leg",Constriction and luxation @ hock joint,1457-18-028,,Euthanized in 24hr,irreparable hock luxation
BADO,Strigidae,Strix,varia,Barred Owl,1/26/2018,33.048138,-80.438762,806.00,,Adult,,,,,"L wing, compound fx @ wrist, comminuted",,Not examined,Abnormal,Not examined,Euthanized under ISO,,,,,,,,,,hit by car,"L wing, compound fx @ wrist, comminuted",8163-18-052,S. collision,Euthanized in 24hr,compound carpal fx
BADO,Strigidae,Strix,varia,Barred Owl,1/11/2018,33.395314,-80.514012,,,,,,,,,,,,,,,,,,,,,,,hit by car,,8138-18-027,,Released,fit for release
BUFF,Anatidae,Bucephala,albeola,Bufflehead,1/26/2018,33.515609,-79.059779,,,,,,,,,,,,,,,,,,,,,,,"? gunshot, compound fx L",,1458-18-029,,Euthanized in 24hr,left compound humeral fracture
TUVU,Cathartidae,Cathartes,aura,Turkey Vulture,1/26/2018,33.904073,-78.611954,1676.00,Emaciated,Juvenile,,,,,"R wing, fx of radius & ulna; old & calcified, L wing; elbow joint stiff; unable to achieve rotation, Lead test--18",,Not examined,Abnormal,Not examined,Euthanized on arrival,,"RAD: PM, VD, no evidence of gunshot, confirmed fractures",,,,,,,,hopping around on ground for weeks,"Multiple fx, lead toxicity",8162-18-051,lead toxicity,Euthanized in 24hr,old calloused fractures
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/20/2018,,,528.00,Good,Juvenile,Visual OU,Unable to stand,Excellent feather condition,Excellent body condition,,"Uses legs well, can pull them up + clench talons",No significant findings,Not examined,No significant findings,"LRS 20 ml SQ R leg, Vit B comp 005 ml SQ fluid, Metacam 0.21 ml IM (high), placed tail wrap on bird",,RAD when stable,,,,,,,,unable to fly or stand,"Unable to stand, NSF",8148-18-037,S. collision,Died +24hr,Deceased in Kennel
COLO,Gaviidae,Gavia,immer,Common Loon,1/25/2018,33.475935,-79.091982,,,,,,,,,,,,,,,,,,,,,,,unable to fly,,1465-18-027,,Died +24hr,Died prior to surgery
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/25/2018,32.788683,-80.006197,337.00,Reasonable,Adult,,,,,"Severe R wing trauma, radius & ulna compound fxs, multiple, radius fx, distal, compound, ulna, fxs multiple, compound, proximal, distal @ wrist w/wrist trauma, luxation of carpal bones--irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,,,,,,,,,"on ground, unable to fly, fx wing",Multiple R wing fractures--irreparable,8161-18-050,,Euthanized in 24hr,compound fractures
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/8/2018,32.785292,-80.042998,101.00,Thin,Adult,,,,,flighted,"poss. L leg trauma, L foot swollen, bruising on plantar surface, poss fx TBT",No significant findings,No significant findings,Abnormal,"Rad when stable, LRS 5 cc SQ L leg, Vit B 0.02cc SQ fluids, Metacam 0.02 cc IM",,,,,,,,,,Left leg trauma,"Confirmed TBT fx distal, feels stable, old",8121-18=010,,Released,fit for release.
BADO,Strigidae,Strix,varia,Barred Owl,1/24/2018,33.836081,-81.163725,833.00,Good,Adult,blood from china and glottis,,,,"Severely fractured humerus, comminuted throughout bone, compound, wing severely rotated 3X around shoulder, non-repairable and inoperable",,Abnormal,Abnormal,Not examined,"Too much trauma to wing, elect euthanasia under ISO mask",,,,,,,,,,"severe fx, wing rotated","Severely fractured humerus, severe head trauma & internal trauma",8159-18-048,,Euthanized in 24hr,compound humeral fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/23/2018,33.349221,-80.423025,,,,,,,,,,,,,,,,,,,,,,,fx wing,,8157-18-046,,Euthanized in 24hr,"luxated elbow joint, fx humerus through elbow joint"
BADO,Strigidae,Strix,varia,Barred Owl,1/29/2018,32.605058,-80.91021,,Emaciated,Adult,,,,extremely emaciated,"right wing fracture, radius/ulna, distal at wrist old and callused, radius fractured at proximal elbow joint","right femur fracture, mid-shaft",No significant findings,Abnormal,Abnormal,euthanized under ISO,,"covered in flat flies,  keel 1, poor feather condition, muddy",,,,,,,,not flying,"multiple traumatic injuries, right wing fx, right leg fx, non repairable",8169-18-058,S. Collision,Euthanized in 24hr,"fatal non-repairable injuries, saved feathers for ED"
BAEA,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,1/13/2018,32.255177,-81.227678,3525.00,Reasonable,Adult,"nystagmus to left, keeps closing eyes, thick mucus, distal fx to beak, upper and lower",,,,,,Abnormal,No significant findings,No significant findings,"1 ml Gabapentin po, Metacam 1.4 cc IM, 120 cc LRS SQ, Vitamin B 0.2 cc SQ",,Lead:  1. Low  2. 3.8 mg/dl,,,,,,,,found on ground,"Possible head trauma, suspect seizing",8142-18-031,,Died in 24hr,"Died in kennel, bleeding from mouth"
COLO,Gaviidae,Gavia,immer,Common Loon,1/31/2018,33.532336,-79.056924,2691.00,Good,Juvenile,,,Full wing/body molt,Fully waterproofed,,,No significant findings,Not examined,No significant findings,"60cc LRS scaps, 60cc LRS gavage, Vt B complex .50cc PO. Elected to place bird on water to monitor behavior and water proofing",,RAD NSF. Rocks/pebbles in stomach. Lead test low,,,,,,,,Stranding (behavioral),Full body molt with respiratory distress,1461-18-032,,Died +24hr,Bird deceased in kennel after poor prognosis the day before.
BAEA,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,1/24/2018,33.127078,-79.584741,,Thin,Adult,Bloody discharge,,,Bruising on keel,,,Abnormal,No significant findings,No significant findings,,,Could not pull blood from deceased bird for lead test. No sign of projectile/gun shot or electrocution.,,,,,,,,S. Collision (moving object),Suspected lead poisoning and internal injuries due to collision with moving object (vehicle),,DOA,Dead on arrival,
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/29/2018,32.872899,-79.757653,,Emaciated,Juvenile,,,,,,"Both feet severe frostbite with necrosis of webbing, digits, bones",Not examined,Not examined,Abnormal,,,Unable to capture 1/28. DOA 1/29,,,,,,,,"Frostbite, Environmental",Died from emaciation and frostbite to both feet,,"DOA, Frostbite",Dead on arrival,
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/30/2018,33.376569,-79.295098,,Emaciated,Juvenile,,,,,,Severe frostbite on both feet; necrosis on webbing. Digit bones completely seperated,Not examined,Not examined,Abnormal,,,Died overnight in care with Irene Rice.,,,,,,,,Frostbite,Died in result of frostbite injuries and emaciation,,"DOA, Frostbite",Dead on arrival,
DCCO,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested Cormorant,2/2/2018,,,,,,,,,,,,No significant findings,No significant findings,No significant findings,n/a,,bird was DOA,,,,,,,,Environmental,"NSF, but DOA",,,Dead on arrival,bird was DOA
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,2/2/2018,33.541655,-79.053921,2893.00,Thin,Juvenile,No frost bite present.,,,Slightly emaciated.,,"Frost bitten on both feet on plantar surface, older frost bite, scab clearly healing over the surface. Healthy, alive tissue under all scabs, blood present.",No significant findings,No significant findings,Abnormal,"Tx: Under Isoflurane Mask/Intubation @ 2-4% for 20 Minutes: Old frost bite wounds presented, scabs all over affected areas, heavy debridement of all scabs ready to come off, others that were not ready to come off were simply left on. Scrubbed both feet , plantar surface, with nolvasan soaked gauze, dried off, applied TAO and massaged into plantar surface. On severely affected areas, medihoney wound dressing applied to area as well as petroleum gauze to help keep derided tissue moist. A layer of telfa pads were placed over the bottom and tops of the foot webbing. Tegaderm, paper tape, and sticky tape will keep the bandage secured and will keep all exposed tissue moist. After several hours in the bird's kennel, WN brought the cold laser therapy over from the aquarium and treated the bird for 1.5 minutes on each foot @ 4 watts (240 Jewels). The bird received 35 mL of LRS IV - Left ulnar vein, 120 mL LRS PO Gavage, 3 mL 1mg/mL Metacam Suspension PO, 0.30 mL Iron IM, 0.90 mL Baytril PO. Guarded Prognosis.",,"Elect to give this bird a shot due to condition of feet, and the healing process already being admitted by this individual. Very interesting individual, sub-adult.",,,,,,,,Environmental,"Environmental frost bite both feed, mild emaciation",1463-18-034,"BRPE, Frost Bite",Euthanized +24hr,Left wrist trauma + frostbite on feet bilaterally
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,2/3/2018,33.886753,-78.595546,,,,,,Plantar surface on both feet frost bitten,Severe emaciation,,"completely frost bitten, digits exposed and necrotic, dried out.",No significant findings,No significant findings,Abnormal,n/a,,"DOA, died of frost bite on both feet, nubs present, bone completely dead",,,,,,,,Environmental,"Enviromental Frost Bite, skin sloughed off of surface of foot, exposed digits on all feet, severe necrosis throughout feet, emaciation.",DOA,"Environmental, Frost Bite, DOA",Dead on arrival,Deceased upon arrival.
BAEA,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,1/8/2018,,,,,,,,,,,,,,,,,,,,,,,,,found on the ground unable to fly,,DOA,,Dead on arrival,DOA
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/19/2018,32.811624,-79.905458,,,,,,,,,,,,,,,,,,,,,,,S. Collision (moving object),,DOA,,Dead on arrival,DOA
RSHA,Accipitridae,Buteo,lineatus,Red-shouldered Hawk,2/5/2018,33.656636,-79.825142,465.00,Plump,Adult,,,,,"L humerus fx, compound, midshaft; exposed bone dorsal aspect, dry",,Not examined,Abnormal,Not examined,None; euthanized,,"Severe compound fx, irreparable",,,,,,,,S. Collision (moving object),"Left humerus fx, compound",8174-18-063,S. collision,Euthanized in 24hr,Severe compound fx
PBGR,Podicipedidae,Podilymbus,podiceps,Pied-billed Grebe,1/31/2018,32.906057,-79.789512,205.00,Good,,sores on both sides of mouth in corners,no fx palpated,excellent waterproofing,excellent body condition,,,Abnormal,Not examined,Not examined,"cleaned wounds with Novasan, LRS 5 ml SQ Scaps, Vit B comp 0.03 ml SQ fluids, Metacam 0.04 ml IM, Baytril 0.06 ml PO",,"11 minnows in pool, would not eat",,,,,,,,Unable to fly,"Stranding. NSF. Sores on both sides of mouth, unknown etiology",1462-18-033,"Stranding, Behavioral Stranding, Mouth Sores",Released,"healthy enough to release, gavaged 5 ml PC"
BADO,Strigidae,Strix,varia,Barred Owl,1/2/2018,32.659457,-80.176347,664.00,,Adult,"flushed eyes, blood in L ear",,mites/flatflies,,,,Abnormal,No significant findings,No significant findings,"Sprayed with Adams, LRS 35 cc SQ L leg, Vit B 0.1 cc SQ fluids, Metacam 0.15 cc IM",,Keel 2+,,,,,,,,S. Collision (moving object),Severe head trauma,8113-18-002,"S. collision, concussion",Euthanized +24hr,"Bird unable to self feed due to severe neurological deficits after one month in  care, no progress, Euthanized under ISO"
NOCA,Cardinalidae,Cardinalis,cardinalis,Northern Cardinal,2/3/2018,32.841393,-79.848521,39.00,Plump,Adult,Non-visual due to CNS trauma,,,,,,Abnormal,Not examined,Not examined,Flurbiprofen + BNP OD; Metacam 0.02 ml IM; LRS 1 ml SQ w/ 0.02 ml Vit B,,Poor prognosis,,,,,,,,S. Collision (moving object),Severe head/CNS trauma,1464-18-035,,Died +24hr,Died due to injuries
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/30/2018,34.195433,-79.762563,311.00,Emaciated,Juvenile,,,,,,"infection of both feet, swelling, pads worn, poor reflex, poor circulation",No significant findings,No significant findings,Abnormal,"Cleaned both feet with Novasan, applied SSD + honey pads,  wrapped w/vet wrap and tape, LRS 20 ml SQ R leg Vit B comp, 0.05 ml SQ, 0.05 ml SQ fluids, Clindamycin 0.20 ml PO  **poor prognosis**",,,,,,,,,,Severe necrosis to both feet,severe infection of both feet in halluxs,8172-18-061,"foot necrosis, falconry",Released,Falconer will hopefully take bird to Dr. Jose for further care.
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/30/2018,,,2987.00,,Juvenile,"Severe advanced frostbite distal pouch @ lower mandible, significant loss of pouch tissue, pouch detached from lower mandible a necrotic segment",,,,,Severe advanced frostbite both feet w/exposed bone,Abnormal,Not examined,Abnormal,"Irreparable, euthanized on arrival",,,,,,,,,,Stranding (environmental or weather related),Severe advanced frostbite with necrosis to both feet and pouch,1460-18-031,frostbite,Euthanized in 24hr,irreparable injuries due to frostbite
SNEG,Ardeidae,Egretta,thula,Snowy Egret,1/6/2018,32.874704,-79.796052,496.00,Reasonable,Adult,blood from esophagus and choana,"no palpable fx, bird standing","wound on L scapular, wound on throat",,,,Abnormal,Not examined,Not examined,"under ISO @ 3% for 20 min, swabbed out wound on L scapular, degloving, cleaned, skin glue; wound on throat, skin glue, flushed eyes w/saline, LRS 20 ml SQ scaps, Vit B comp 0.08 ml SQ fluid, Metacam 0.20 IM (high)",,,,,,,,,,Animal conflict,Obvious wounds to neck and L scapular due to animal interaction,1438-18-009,"animal conflict, animal interaction",Released,"Excellent flight, wounds healed"
RTHA,Accipitridae,Buteo,jamaicensis,Red-tailed Hawk,2/6/2018,,,,Emaciated,Adult,Left supraorbital ridge exposed,"Keel fx, old, misaligned; severely emaciated",,,,"Left hallus fx, old, infected, necrotic at talon",Abnormal,Not examined,Abnormal,euthanized,,,,,,,,,,S. Collision (moving object),Old keel fracture combined with left hallux fx and ensuing infection likely caused severe emaciation,8175-18-064,Severe trauma,Euthanized in 24hr,Severe trauma
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,2/7/2018,,,,,,,,Frost bite to both plantar surfaces of webbing on both feet.,emcaiated,"Severe right humeral fracture, oblique, proximal to mid-shaft, compound dorsally ~ 1"", exposed bone dried and non-viable.",Frost bite to both feet.,No significant findings,Abnormal,Abnormal,n/a,,"in-operable and non-viable humeral fracture, severe wing trauma from elbow to wrist - no blood supply, wing very cold",,,,,,,,Frost bite and right wing fracture,"Severe right wing trauma, frost bite",1465-18-036,,Euthanized in 24hr,"Severe frost bite both feet, in-operable compound oblique humeral fracture, no blood supply to rest of wing (carpels and ulna/radius)."
,Unidentified,Unidentified,Unidentified,Turkey Vulture,2/8/2018,32.841393,-79.848521,2008.00,Plump,,,,,,,"Left femur fracture, midshaft",Not examined,No significant findings,Abnormal,Under ISO at 2-5% for ~15 minutes; Rad - confirmed left femur fracture; LRS 95cc SQ right leg; Metacam 0.4cc IM; Baytril 0.3cc SQ fluids; CaEDTA 0.35cc SQ fluids; Tramadol 0.88cc PO; no splint or wrap applied to femur,,Emailed rads to JB for surgical consult,,,,,,,,S. Collision (moving object),Head trauma & femur fracture,8176-18-065,"Lead Poisoning, Lead",Euthanized in 24hr,Consulted with Jose on Diagnosis and he recommended euthanasia
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,2/9/2018,,,2730.00,Thin,Juvenile,Small bruise on the right side of the pouch.,,Covered in feather lice; Right Wing - P3 & P4 broken at the base.,"Slight emaciation, not severe.",,"Right foot digit #1 - nail most likely going to loose, light frost bite to both feet - mild and healing well. Mild webbing tears to right foot, left foot has a very large webbing tear.",No significant findings,No significant findings,Abnormal,"Tx: Under ISO @ 2% for 15 Min
No Palpable fractures, bird very feisty and BAR. Slight emaciation, but nothing significant. Old frost bite wounds to both feet, healthy granular tissue forming around the edges of the feet. Right Foot --> Nail on Digit #1 necrotic and most likely going to fall off, two small tears in the webbing between Digits #1 & #2 - minor. Left Foot --> Large webbing tear between Digits #1 & #2. Individual is covered in lice --> Adams Spray. Light, small bruise on the bird's right side of the pouch - minor. 
Baytril: 0.80 mL IV - Split between both tarso veins.
Metacam: 3mL PO (1 mg/mL PO Suspension).   
Iron: 0.30 mL IM.
Vitamine B Complex: 0.30 mL PO Fluids.
LRS: 140 mL (20 mL IV; 120 mL PO).
TAO: Both feet around frostbitten areas.",,"Bird has a guarded prognosis, will consult with JB on Sx options for the bird's Left foot webbing tear.",,,,,,,,"Light frost bite to both feet, old and healing well","Mild frost bite to both feet - Healing well, bruising on pouch, light emaciation, webbing tears to both feet (right minor, left major), large feather lice population",1468-18-039,"BRPE, Frostbite, Feet",Pending,
NOFL,Picidae,Colaptes,auratus,Northern Flicker,2/9/2018,32.559971,-80.829154,122.00,Plump,Adult,Pupilary Light Response OU,,,,,,No significant findings,No significant findings,No significant findings,"LRS 6 mL SQ scapulas, 0.03 mL Vitamine B complex SQ Fluids, metacam 0.06 mL IM",,Poor prognosis,,,,,,,,"Found on the ground, Unable to fly","Severe Head Trauma, respiratory distress",1469-18-040,S. Collision,Pending,
RSHA,Accipitridae,Buteo,lineatus,Red-shouldered Hawk,2/11/2018,33.75512,-79.178581,,,,,,,,"Right wing radius fx, old, callused, gunshot pellet remains just under skin","Right femur fx, spiral, proximal at hip joint; hip girdle/ischium fx",No significant findings,Abnormal,Abnormal,none,,"Right wing fracture old, not likely cause of this trauma; radiographs attached",,,,,,,,S. Collision (moving object),"Irreparable right femur fracture, proximal at hip joint",8177-18-066,S. collision,Euthanized in 24hr,"Irreparable right femur fracture, proximal at hip joint; hip girdle/ischium fx right"
BADO,Strigidae,Strix,varia,Barred Owl,2/11/2018,,,,,,,,,,"Left humerus fracture, compound, multiple fxs proximal and distal",,No significant findings,Abnormal,No significant findings,None,,,,,,,,,,S. Collision (moving object),"Left humerus fracture, compound, multiple fxs proximal and distal; irreparable; euthanized on arrival",8178-18-067,,Euthanized in 24hr,Irreparable left humerus fractures
